dataset_id,snippet_id,participant_id,developer_position,PE gen,PE spec (java),method_name,file,#parameters,#assignments,#commas,#periods,#spaces,#literals,#statements,Volume,Entropy,#identifiers,CR,#conditionals (avg),#loops (avg),#assignments (avg),#comparisons (avg),#comments (avg),#operators (avg),Identifiers Length (avg),#keywords (avg),#commas (avg),#parenthesis (avg),#periods (avg),#spaces (avg),Line length (avg),Indentation length (avg),#blank lines (avg),#numbers (avg),#identifiers (avg),#nested blocks (avg),MIDQ (avg),CIC (avg),CICSyn (avg),#numbers (max),Identifiers length (max),Indentation length (max),Line length (max),#keywords (max),#identifiers (max),MIDQ (max),CIC (max),CICSyn (max),#identifiers (min),MIDQ (min),Cyclomatic complexity,NMI (avg),NMI (max),ITID (avg),ITID (min),NM (avg),NM (max),LOC,#assignments (dft),#characters (max),#commas (dft),#comments (dft),Comments (Visual X),Comments (Visual Y),#comparisons (dft),#conditionals (dft),#identifiers (dft),Identifiers (Visual X),Identifiers (Visual Y),#keywords (dft),Literals (Visual X),Literals (Visual Y),#loops (dft),#numbers (dft),Numbers (Visual X),Numbers (Visual Y),Operators (Visual X),Operators (Visual Y),#operators (dft),#parenthesis (dft),#periods (dft),#spaces (dft),Strings (Visual X),Strings (Visual Y),Indentation length (dft),Line length (dft),TC (avg),TC (min),TC (max),Keywords (Visual X),Keywords (Visual Y),PBU,ABU,ABU50,BD,BD50,AU,warnings_checker_framework,warnings_typestate_checker,warnings_infer,warnings_openjml,warning_sum
6,1-ClassifierPerformanceEvaluatorCustomizer,4,1,2,1,addButtons,ds_6_snip_1$ClassifierPerformanceEvaluatorCustomizer_addButtons.java,0,6,4,16,410,12,44,485.8894141,2.112917488,66,0.0,0.105263158,0.026315789,0.157894737,0.105263158,0.0,0.026315789,8.636363636,0.394736842,0.105263158,1.631578947,0.421052632,10.78947368,31.625,9.157894737,0.131578947,0.131578947,1.736842105,0.131578947,0.0,0.0,0.0,2,28,20,104,2,6,0.0,0.0,0.0,1,100.0,8,2.829268293,28,0.246666667,0.0,1.676666667,17,41,45,446,46,45,0.0,0.0,46,46,46,77.93478261,44.82278481,46,0,0.0,46,46,77.54347826,44.69620253,77.93478261,44.74683544,46,46,46,46,77.93478261,44.69620253,46,46,,,,77.93478261,44.72151899,1,0,1,1,0,2,1.0,19.0,0.0,4.0,24.0
6,1-ModelPerformanceChart,4,1,2,1,performRequest,ds_6_snip_1$ModelPerformanceChart_performRequest.java,1,8,2,26,479,14,47,502.3032009,1.725301877,65,27.485,0.076923077,0.0,0.205128205,0.025641026,0.051282051,0.025641026,8.261538462,0.41025641,0.051282051,1.282051282,0.666666667,12.28205128,31.925,10.87179487,0.025641026,0.076923077,1.666666667,0.179487179,0.0,0.013971499,0.016080021,2,24,24,77,2,7,0.0,0.136363636,0.129032258,1,100.0,7,2.404761905,15,0.273809524,0.0,1.626373626,23,42,44,540,44,50,72.96,48.97297297,44,44,44,71.7,48.94594595,44,0,0.0,1,44,73.0,48.93243243,72.82,48.90540541,44,44,44,44,72.96,48.86486486,44,1,,,,72.96,48.7027027,1,0,0,1,1,1,3.0,14.0,0.0,0.0,17.0
6,1-SpringBatch,4,1,2,1,testFailureAndRecovery,ds_6_snip_1$SpringBatch_testFailureAndRecovery.java,0,3,9,15,692,7,42,516.2341911,1.59881082,83,0.0,0.0,0.0,0.066666667,0.0,0.0,0.022222222,9.493975904,0.6,0.2,1.6,0.333333333,15.37777778,37.64583333,13.68888889,0.0,0.044444444,1.844444444,0.133333333,0.0,0.0,0.0,1,22,28,112,3,7,0.0,0.0,0.0,1,100.0,11,4.895833333,19,0.531714286,0.0,2.543904762,22,48,48,160,48,1,0.0,0.0,48,1,44,100.9375,46.78431373,48,0,0.0,1,48,0.0,0.0,100.9583333,46.76470588,48,44,48,48,100.9583333,46.88235294,48,43,,,,100.9791667,46.71568627,1,1,1,0,0,3,0.0,17.0,0.0,7.0,24.0
6,2-SpringBatch,4,1,2,1,testArtifactUniqueness,ds_6_snip_2$SpringBatch_testArtifactUniqueness.java,0,10,19,18,123,36,38,539.7501708,2.96425549,61,0.0,0.0,0.0,0.454545455,0.0,0.0,0.0,9.475409836,0.181818182,0.863636364,2.727272727,0.818181818,5.590909091,42.22727273,3.454545455,0.409090909,0.0,2.772727273,0.0,0.0,0.0,0.0,0,22,4,69,3,4,0.0,0.0,0.0,2,100.0,1,2.24,9,0.333333333,0.25,1.75,17,25,24,191,34,24,0.0,0.0,1,1,24,89.0,31.06666667,34,0,0.0,1,34,0.0,0.0,88.67647059,30.17777778,1,24,24,24,89.0,31.57777778,24,24,,,,88.97058824,32.9,1,0,1,1,0,2,0.0,7.0,1.0,0.0,8.0
6,3-Phoenix,4,1,2,1,configure,ds_6_snip_3$Phoenix_configure.java,1,14,10,46,299,9,62,884.6374287,2.98069087,125,0.0,0.095238095,0.047619048,0.333333333,0.0,0.0,0.0,9.928,0.357142857,0.238095238,1.952380952,1.095238095,7.119047619,44.19047619,5.428571429,0.166666667,0.0,2.976190476,0.19047619,0.0,0.0,0.0,0,28,12,108,2,7,0.0,0.0,0.0,1,100.0,8,6.8,26,0.399107143,0.0,2.614136905,18,45,52,567,51,52,0.0,0.0,1,52,52,161.0,50.82716049,52,0,0.0,52,52,0.0,0.0,160.7692308,50.7962963,1,52,52,52,161.0,50.91975309,52,52,,,,160.8653846,50.85802469,1,0,1,1,0,2,0.0,28.0,0.0,12.0,40.0
6,3-SpringBatch,4,1,2,1,testOperationWithDirectCloseCall,ds_6_snip_3$SpringBatch_testOperationWithDirectCloseCall.java,0,9,8,19,132,7,46,432.6947627,3.383237018,75,119.19,0.0,0.0,0.346153846,0.0,0.115384615,0.0,7.92,0.192307692,0.307692308,2.153846154,0.730769231,5.076923077,34.61538462,3.538461538,0.230769231,0.0,2.884615385,0.0,0.0,0.064107537,0.043988053,0,33,4,93,3,5,0.0,0.214285714,0.153846154,1,100.0,1,3.724137931,18,0.29375,0.0,5.1375,37,29,32,108,32,35,91.0,32.84782609,1,1,32,91.0,33.76086957,32,0,0.0,1,32,0.0,0.0,90.82857143,33.7826087,1,32,32,32,90.97142857,33.91304348,32,34,,,,90.85714286,33.83695652,1,1,1,0,0,3,1.0,6.0,1.0,1.0,9.0
6,4-SpringBatch,4,1,2,1,testCustomRecordSeparatorMultilineBlankLineAfterEnd,ds_6_snip_4$SpringBatch_testCustomRecordSeparatorMultilineBlankLineAfterEnd.java,0,1,2,7,215,5,20,210.908275,2.227703886,40,201.76,0.04,0.0,0.04,0.0,0.04,0.0,9.2,0.48,0.08,1.28,0.28,8.6,26.55172414,7.2,0.32,0.0,1.6,0.04,0.0,0.035555556,0.021571429,0,51,16,84,3,4,0.0,0.25,0.125,1,100.0,6,4.607142857,15,0.677777778,0.333333333,8.966666667,36,28,36,82,36,36,90.0,36.0,1,36,34,89.94594595,35.73626374,36,0,0.0,1,36,0.0,0.0,89.81081081,35.76923077,1,34,36,36,89.91891892,35.89010989,36,37,,,,89.97297297,35.7032967,1,0,0,1,1,1,2.0,8.0,0.0,2.0,12.0
6,5-SpringBatch,4,1,2,1,initWriterForSimpleCallbackTests,ds_6_snip_5$SpringBatch_initWriterForSimpleCallbackTests.java,0,3,4,10,283,7,26,260.0559466,2.117817275,46,0.0,0.0,0.0,0.103448276,0.0,0.0,0.0,10.76086957,0.586206897,0.137931034,1.379310345,0.344827586,9.75862069,31.70967742,8.137931034,0.172413793,0.0,1.586206897,0.137931034,0.0,0.0,0.0,0,32,16,69,3,4,0.0,0.0,0.0,2,100.0,7,4.0625,21,0.479166667,0.25,1.708333333,10,32,34,97,34,35,0.0,0.0,1,1,33,97.94594595,35.33333333,33,0,0.0,1,34,0.0,0.0,97.94594595,35.38383838,1,33,32,34,98.0,35.83838384,34,36,,,,97.97297297,35.44444444,1,0,1,1,0,2,0.0,9.0,1.0,2.0,12.0
6,1-CarReport,5,2,2,2,save,ds_6_snip_1$CarReport_save.java,0,4,1,21,259,3,34,354.2428289,2.332275645,60,0.0,0.066666667,0.0,0.133333333,0.033333333,0.0,0.0,9.933333333,0.566666667,0.033333333,2.133333333,0.7,8.633333333,34.5625,7.2,0.133333333,0.0,2.0,0.133333333,0.0,0.0,0.0,0,31,12,84,2,6,0.0,0.0,0.0,1,100.0,5,3.606060606,14,0.321296296,0.0,3.175,17,33,36,383,37,37,0.0,0.0,37,37,36,87.94594595,35.78651685,37,0,0.0,1,37,0.0,0.0,87.91891892,35.82022472,1,37,37,36,0.0,0.0,36,36,,,,87.94594595,35.82022472,1,0,0,1,1,1,0.0,12.0,0.0,5.0,17.0
6,1-CheckEstimator,5,2,2,2,printAttributeSummary,ds_6_snip_1$CheckEstimator_printAttributeSummary.java,2,16,1,14,453,20,54,523.1868677,2.120536307,57,112.085,0.204081633,0.0,0.326530612,0.081632653,0.020408163,0.102040816,5.754385965,0.346938776,0.020408163,0.653061224,0.285714286,9.244897959,21.08163265,7.591836735,0.183673469,0.081632653,1.163265306,0.204081633,0.0,0.031233363,0.03059607,1,21,12,74,3,4,0.0,0.086956522,0.08,1,100.0,15,2.0,16,0.318181818,0.0,2.242424242,17,52,55,558,62,67,71.1641791,65.93670886,62,62,46,77.92537313,65.86075949,62,0,0.0,1,62,78.0,66.0,77.70149254,65.92405063,62,62,61,61,77.97014925,65.79746835,61,67,,,,77.97014925,65.92405063,1,0,1,1,0,2,0.0,13.0,0.0,0.0,13.0
