feature,target,tau,|tau|,p-value,dataset,drop_duplicates
ITID (avg),readability_level,-0.012962242022754838,0.012962242022754838,0.8701474556927054,ds_code,True
Literals (Visual Y),readability_level,0.028639868881653145,0.028639868881653145,0.7650928713480177,ds_code,True
Operators (Visual Y),readability_level,-0.045243922332897146,0.045243922332897146,0.5672666750479372,ds_code,True
Numbers (Visual Y),readability_level,-0.019366006726263717,0.019366006726263717,0.8299289249189805,ds_code,True
Volume,readability_level,-0.04744662590040495,0.04744662590040495,0.5496378260238444,ds_code,True
#numbers (avg),readability_level,-0.08619439339117206,0.08619439339117206,0.33133218081573634,ds_code,True
#keywords (max),readability_level,-0.06690704803657056,0.06690704803657056,0.45939771316149014,ds_code,True
CIC (max),readability_level,-0.036886191777100806,0.036886191777100806,0.6547587055763006,ds_code,True
#comments (avg),readability_level,-0.014937887361143586,0.014937887361143586,0.8542227589624826,ds_code,True
MIDQ (min),readability_level,-0.03369156317903635,0.03369156317903635,0.7258667640328429,ds_code,True
#comments (dft),readability_level,-0.04617910146779214,0.04617910146779214,0.5758810184463277,ds_code,True
#assignments,readability_level,-0.06329605505485748,0.06329605505485748,0.4707992120348595,ds_code,True
#identifiers (max),readability_level,0.0013823159038333635,0.0013823159038333635,0.9868051184004655,ds_code,True
Strings (Visual X),readability_level,-0.013429116287453394,0.013429116287453394,0.8820254585973678,ds_code,True
CIC (avg),readability_level,-0.04991527791161323,0.04991527791161323,0.5407646531004087,ds_code,True
#conditionals (dft),readability_level,0.012879004627637922,0.012879004627637922,0.8829433189603813,ds_code,True
CICSyn (avg),readability_level,-0.06817255796783853,0.06817255796783853,0.40291968487679874,ds_code,True
#parameters,readability_level,-0.0776755445431283,0.0776755445431283,0.396518824567877,ds_code,True
Literals (Visual X),readability_level,0.028639868881653145,0.028639868881653145,0.7650928713480177,ds_code,True
#comparisons (avg),readability_level,0.11430469180502158,0.11430469180502158,0.19760176422216125,ds_code,True
#keywords (avg),readability_level,0.10297898522398616,0.10297898522398616,0.20356764950245176,ds_code,True
LOC,readability_level,-0.013091695376273445,0.013091695376273445,0.8777975888917989,ds_code,True
Operators (Visual X),readability_level,0.01680658350143859,0.01680658350143859,0.8317262175679795,ds_code,True
#parenthesis (avg),readability_level,0.006345557738748525,0.006345557738748525,0.9372917846219979,ds_code,True
Comments (Visual Y),readability_level,-0.045877016899227095,0.045877016899227095,0.5627858923157838,ds_code,True
#periods (dft),readability_level,-0.029558885069390705,0.029558885069390705,0.7254040100021695,ds_code,True
#identifiers,readability_level,-0.025160405344252235,0.025160405344252235,0.7556528395692014,ds_code,True
Identifiers length (max),readability_level,0.02556111488148515,0.02556111488148515,0.7530199942069973,ds_code,True
Numbers (Visual X),readability_level,-0.03681590946583884,0.03681590946583884,0.682603153064216,ds_code,True
#assignments (dft),readability_level,0.13114274390188405,0.13114274390188405,0.11630739516617847,ds_code,True
#conditionals (avg),readability_level,0.028585088091494428,0.028585088091494428,0.7398107754000758,ds_code,True
#numbers (max),readability_level,-0.0791723715191713,0.0791723715191713,0.3960514748559568,ds_code,True
CR,readability_level,0.03177308177703567,0.03177308177703567,0.7107167660341673,ds_code,True
#spaces (dft),readability_level,-0.016727512656515276,0.016727512656515276,0.842536273098552,ds_code,True
#numbers (dft),readability_level,-0.0025120798557172466,0.0025120798557172466,0.9762207834925237,ds_code,True
Cyclomatic complexity,readability_level,0.006283375289795683,0.006283375289795683,0.9429304197663737,ds_code,True
ITID (min),readability_level,-0.10726616430869229,0.10726616430869229,0.23554817476300183,ds_code,True
#identifiers (dft),readability_level,-0.017279007608721343,0.017279007608721343,0.8373695825474228,ds_code,True
#characters (max),readability_level,0.035339964999904105,0.035339964999904105,0.6565373066043572,ds_code,True
MIDQ (avg),readability_level,0.03628322188511607,0.03628322188511607,0.705727492958903,ds_code,True
Keywords (Visual Y),readability_level,-0.054545732993583305,0.054545732993583305,0.4903421453275243,ds_code,True
